,side,teamname,team kpm,dragons,barons,towers,dpm,vspm,earned gpm,wcpm,cspm,xpat15,goldat15,result
1310,Blue,Anyone's Legend.Young,0.212,3.0,0.0,8.0,2362.2144,9.7998,1117.6207,1.6726,32.54324401913876,29876.795454545456,25044.644736842107,0
1311,Red,Bilibili Gaming Junior,0.4005,4.0,3.0,9.0,2355.0294,7.8681,1303.9812,1.4841,32.54324401913876,29876.795454545456,25044.644736842107,1
1312,Blue,Ninjas in Pyjamas,0.238,3.0,0.0,4.0,2553.8211,11.2384,971.6351,2.1948,32.54324401913876,29876.795454545456,25044.644736842107,0
1313,Red,Team WE,0.5553,3.0,1.0,10.0,2206.8312,9.4932,1248.9467,2.6443,32.54324401913876,29876.795454545456,25044.644736842107,1
1314,Blue,LNG Academy,0.9268,1.0,1.0,9.0,2515.9302,8.0591,1551.6588,1.6521,32.54324401913876,29876.795454545456,25044.644736842107,1
1315,Red,Royal Club,0.3224,2.0,0.0,3.0,1753.6602,7.2935,981.1954,1.4103,32.54324401913876,29876.795454545456,25044.644736842107,0
1316,Blue,Kwangdong Freecs,0.322,1.0,0.0,4.0,2427.9805,8.8976,1055.7659,1.7268,33.278,30865.0,25635.0,0
1317,Red,Gen.G,0.5854,4.0,1.0,7.0,2502.3805,10.3902,1243.6683,2.1366,33.0732,30136.0,24854.0,1
1318,Blue,Ninjas in Pyjamas,0.4772,4.0,2.0,10.0,1805.3765,10.2757,1408.1866,2.0679,32.54324401913876,29876.795454545456,25044.644736842107,1
1319,Red,Team WE,0.0318,0.0,0.0,3.0,2193.9449,8.9396,919.7561,2.1951,32.54324401913876,29876.795454545456,25044.644736842107,0
1320,Blue,LGD Gaming Young Team,0.6606,4.0,1.0,9.0,2337.1743,7.3394,1377.2477,2.2018,32.54324401913876,29876.795454545456,25044.644736842107,1
1321,Red,Anyone's Legend.Young,0.4404,0.0,0.0,4.0,1914.422,8.5872,1187.5963,1.3578,32.54324401913876,29876.795454545456,25044.644736842107,0
1322,Blue,Kwangdong Freecs,0.1656,0.0,0.0,2.0,2049.6894,7.412,908.9855,1.118,30.2277,28283.0,22795.0,0
1323,Red,Gen.G,0.8282,3.0,1.0,9.0,2645.7971,8.6128,1394.2443,1.4079,32.2981,30843.0,28414.0,1
1324,Blue,HELL PIGS,0.2852,0.0,0.0,1.0,2380.713,8.057,919.18,1.8182,29.8039,29427.0,23806.0,0
1325,Red,Deep Cross Gaming,0.9626,4.0,1.0,7.0,2870.1248,10.1961,1419.2513,2.4955,33.7255,30814.0,27901.0,1
1326,Blue,Ninjas in Pyjamas,0.6752,4.0,2.0,8.0,2670.1995,10.9565,1229.5243,1.9949,32.54324401913876,29876.795454545456,25044.644736842107,1
1327,Red,Team WE,0.0921,0.0,0.0,4.0,2557.1049,8.8389,960.3683,2.3632,32.54324401913876,29876.795454545456,25044.644736842107,0
